mcc,mnc,lac,cell_id,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring,device
,4162,5,504,,,,,42.66202885,-73.77337914,5.36,0,0,53.23,"2019-05-23T03:03:59.800Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,28,-112,,42.66202885,-73.77337914,5.36,0,0,53.23,"2019-05-23T03:03:59.800Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66205052,-73.77339821,7.5,0,0,46.95,"2019-05-23T03:10:21.320Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160665,51,52,-88,,42.66205052,-73.77339821,7.5,0,0,46.95,"2019-05-23T03:10:21.320Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66204710,-73.77339148,7.5,0,0,48.84,"2019-05-23T03:10:31.316Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,20,-120,,42.66204710,-73.77339148,7.5,0,0,48.84,"2019-05-23T03:10:31.316Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66204076,-73.77338281,4.29,0,0,47.96,"2019-05-23T03:10:51.314Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,26,-114,,42.66204076,-73.77338281,4.29,0,0,47.96,"2019-05-23T03:10:51.314Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66205585,-73.77330507,7.5,0,0,38.3,"2019-05-23T04:16:10.182Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46160641,51,45,-95,,42.66205585,-73.77330507,7.5,0,0,38.3,"2019-05-23T04:16:10.182Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66205604,-73.77330313,8.58,0,0,38.44,"2019-05-23T04:17:10.201Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797361,176,36,-104,,42.66205604,-73.77330313,8.58,0,0,38.44,"2019-05-23T04:17:10.201Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66205397,-73.77330916,5.36,0,0,39.72,"2019-05-23T04:24:29.012Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,33,-107,,42.66205397,-73.77330916,5.36,0,0,39.72,"2019-05-23T04:24:29.012Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66218965,-73.77336122,8.58,0,0,55.72,"2019-05-23T05:14:19.722Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491642,112,33,-107,,42.66218965,-73.77336122,8.58,0,0,55.72,"2019-05-23T05:14:19.722Z",LTE,false,"samsung SM-G965U"
,4162,5,504,,,,,42.66218965,-73.77336122,8.58,0,0,55.72,"2019-05-23T05:19:00.461Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,33,-107,,42.66218965,-73.77336122,8.58,0,0,55.72,"2019-05-23T05:19:00.461Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66207408,-73.77338595,5.36,0,0,41.71,"2019-05-23T13:02:46.139Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491642,112,32,-108,,42.66207408,-73.77338595,5.36,0,0,41.71,"2019-05-23T13:02:46.139Z",LTE,false,"samsung SM-G965U"
,4162,5,531,,,,,42.66207212,-73.77338577,6.43,0,0,40.74,"2019-05-23T13:02:56.135Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,34,-106,,42.66207212,-73.77338577,6.43,0,0,40.74,"2019-05-23T13:02:56.135Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66207212,-73.77338577,6.43,0,0,40.74,"2019-05-23T13:03:06.127Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,33,-107,,42.66207212,-73.77338577,6.43,0,0,40.74,"2019-05-23T13:03:06.127Z",LTE,false,"samsung SM-G965U"
,4162,5,531,,,,,42.66206891,-73.77339356,8.58,0,0,39.8,"2019-05-23T13:04:16.130Z",CDMA,false,"samsung SM-G965U"
310,120,5633,47491642,112,31,-109,,42.66206891,-73.77339356,8.58,0,0,39.8,"2019-05-23T13:04:16.130Z",LTE,false,"samsung SM-G965U"
,4162,5,531,,,,,42.66206867,-73.77339721,6.43,0,0,39.72,"2019-05-23T13:04:26.148Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,30,-110,,42.66206867,-73.77339721,6.43,0,0,39.72,"2019-05-23T13:04:26.148Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66207446,-73.77340404,8.58,0,0,38.31,"2019-05-23T13:04:56.126Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,29,-111,,42.66207446,-73.77340404,8.58,0,0,38.31,"2019-05-23T13:04:56.126Z",LTE,false,"samsung SM-G965U"
,4162,5,531,,,,,42.66207533,-73.77340255,6.43,0,0,37.7,"2019-05-23T13:05:16.133Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,35,-105,,42.66207533,-73.77340255,6.43,0,0,37.7,"2019-05-23T13:05:16.133Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66207895,-73.77340165,11.79,0,0,37.86,"2019-05-23T13:06:06.142Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,31,-109,,42.66207895,-73.77340165,11.79,0,0,37.86,"2019-05-23T13:06:06.142Z",LTE,false,"samsung SM-G965U"
,4162,5,531,,,,,42.66207970,-73.77340098,11.79,0,0,37.4,"2019-05-23T13:06:16.134Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,35,-105,,42.66207970,-73.77340098,11.79,0,0,37.4,"2019-05-23T13:06:16.134Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66207860,-73.77340331,11.79,0,0,36.28,"2019-05-23T13:07:26.132Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,33,-107,,42.66207860,-73.77340331,11.79,0,0,36.28,"2019-05-23T13:07:26.132Z",LTE,false,"samsung SM-G965U"
,4162,5,531,,,,,42.66207741,-73.77340452,7.5,0,0,36.32,"2019-05-23T13:07:46.162Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,36,-104,,42.66207741,-73.77340452,7.5,0,0,36.32,"2019-05-23T13:07:46.162Z",LTE,false,"samsung SM-G965U"
,4162,5,436,,,,,42.66207506,-73.77340710,6.43,0,0,36.75,"2019-05-23T13:08:16.139Z",CDMA,false,"samsung SM-G965U"
310,120,5633,46797369,176,31,-109,,42.66207506,-73.77340710,6.43,0,0,36.75,"2019-05-23T13:08:16.139Z",LTE,false,"samsung SM-G965U"
,4162,5,531,,,,,42.66207375,-73.77340616,6.43,0,0,36.85,"2019-05-23T13:08:26.134Z",CDMA,false,"samsung SM-G965U"
