16677,1,42.4105658,-73.90304382,42.4105658,-73.90304382,7/1/2019,19.3333
804,2,42.4853299,-73.80810155,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.48441782,-73.80841973,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.48382636,-73.80855889,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.48322268,-73.8086377,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.48260903,-73.8086325,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.48198218,-73.80857759,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.4813706,-73.80845623,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.48074451,-73.80830019,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.48011744,-73.80813694,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47948788,-73.80797766,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47886649,-73.80782053,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47824959,-73.80765809,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47751854,-73.80746944,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47676263,-73.80727709,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47619347,-73.80713146,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47564612,-73.80699058,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47510651,-73.80684865,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.4745544,-73.80669808,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47399782,-73.8065434,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47344493,-73.80639813,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47288774,-73.80625263,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.4723394,-73.80610319,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.4717838,-73.80597076,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47121549,-73.80585435,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47079908,-73.80579071,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47003797,-73.80573665,42.4716629,-73.80594175,7/1/2019,15.0833
804,2,42.47003797,-73.80573665,42.4716629,-73.80594175,7/1/2019,15.0833
292,3,42.51595344,-73.78954598,42.51595344,-73.78954598,7/1/2019,15.05
292,3,42.51518323,-73.78969525,42.51595344,-73.78954598,7/1/2019,15.05
292,3,42.51437436,-73.78986481,42.51595344,-73.78954598,7/1/2019,15.05
804,3,42.51437436,-73.78986481,42.51595344,-73.78954598,7/1/2019,15.05
837,4,42.61007907,-73.78995974,42.6100706,-73.7899757,7/2/2019,1.3167
581,4,42.610084,-73.78994484,42.6100706,-73.7899757,7/2/2019,1.3167
581,4,42.61013406,-73.78994202,42.6100706,-73.7899757,7/2/2019,1.4833
837,4,42.61008169,-73.78988397,42.6100706,-73.7899757,7/2/2019,1.8
837,4,42.61006229,-73.79013728,42.6100706,-73.7899757,7/2/2019,1.8
581,4,42.61010769,-73.789898,42.6100706,-73.7899757,7/2/2019,1.8
581,5,42.61015898,-73.78985991,42.61005474,-73.78987657,7/2/2019,1.2167
581,5,42.61005474,-73.78987657,42.61005474,-73.78987657,7/2/2019,1.2167
581,6,42.61010303,-73.78974001,42.61010004,-73.78973925,7/2/2019,1.8667
581,7,42.61046419,-73.79033598,42.6102225,-73.78984914,7/2/2019,2.25
325,8,42.65037962,-73.76408812,42.63352671,-73.78112104,7/1/2019,14.9167
325,8,42.63352671,-73.78112104,42.63352671,-73.78112104,7/1/2019,14.9167
325,8,42.63318301,-73.78187614,42.63352671,-73.78112104,7/1/2019,14.9167
325,8,42.63318301,-73.78187614,42.63352671,-73.78112104,7/1/2019,14.9167
563,9,42.63716736,-73.74055818,42.63778965,-73.74339256,7/10/2019,17.7
563,9,42.63751962,-73.74242456,42.63778965,-73.74339256,7/10/2019,17.7
563,9,42.63778965,-73.74339256,42.63778965,-73.74339256,7/10/2019,17.7
580,9,42.63788476,-73.74354844,42.63778965,-73.74339256,7/10/2019,17.7
580,9,42.63836105,-73.743989,42.63778965,-73.74339256,7/10/2019,17.7
580,9,42.63887956,-73.74450553,42.63778965,-73.74339256,7/10/2019,17.7
580,9,42.63895706,-73.74463806,42.63778965,-73.74339256,7/10/2019,17.7
580,9,42.63948807,-73.74551815,42.63778965,-73.74339256,7/10/2019,17.7
583,9,42.63954948,-73.74563683,42.63778965,-73.74339256,7/10/2019,17.7
839,10,42.63623734,-73.75819637,42.64056027,-73.75226573,7/2/2019,2.35
4732,10,42.63623734,-73.75819637,42.64056027,-73.75226573,7/2/2019,2.35
4732,10,42.6366227,-73.75747929,42.64056027,-73.75226573,7/2/2019,2.35
4732,10,42.63700566,-73.75675511,42.64056027,-73.75226573,7/2/2019,2.35
4732,10,42.63738671,-73.75604689,42.64056027,-73.75226573,7/2/2019,2.35
4732,10,42.63778197,-73.75537153,42.64056027,-73.75226573,7/2/2019,2.35
839,10,42.63778197,-73.75537153,42.64056027,-73.75226573,7/2/2019,2.35
839,10,42.63819612,-73.75473524,42.64056027,-73.75226573,7/2/2019,2.35
839,10,42.63862838,-73.75412297,42.64056027,-73.75226573,7/2/2019,2.35
839,10,42.63902098,-73.75359546,42.64056027,-73.75226573,7/2/2019,2.35
839,10,42.6394751,-73.7530254,42.64056027,-73.75226573,7/2/2019,2.35
839,10,42.64002778,-73.75257587,42.64056027,-73.75226573,7/2/2019,2.35
